date,AZM_minutes,rmssd,nremhr,entropy,sleep_score,deep_sleep_min,resting_heart_rate,stress_score,o2_avg,o2_lower_bound,o2_upper_bound,calories
2023-10-22,29.0,87.16112048192771,0.9498313253012048,871.6912530120482,64.0,88.0,56.0,73.0,80.96004514672687,96.44999999999999,96.5,1960.3500000000001
2023-10-23,43.0,61.82382417582417,0.9669780219780221,759.3586923076923,84.0,95.0,57.0,80.0,81.8036750483559,94.45,93.4,1960.09
2023-10-24,124.0,79.69788505747127,0.9618965517241379,935.8702758620691,81.0,80.0,58.0,79.0,81.25318181818182,95.55000000000001,96.6,2275.68
2023-10-25,59.0,61.67994186046512,0.9771976744186047,699.7693372093023,77.0,68.0,56.0,78.0,83.04156305506217,95.85,100.0,1937.47
2023-10-26,187.0,92.1352972972973,0.9610675675675676,1061.658108108108,71.0,49.0,56.0,79.0,82.81177829099308,91.85,97.1,2431.9900000000002
2023-10-27,55.0,86.19711904761905,0.9701190476190475,1074.1317619047618,74.0,71.0,55.0,84.0,85.67165178571429,93.6,96.0,1919.04
2023-10-29,8.0,57.79830337078651,0.9871685393258427,724.9256966292135,87.0,72.0,55.0,85.0,86.11434426229509,86.9,97.6,1957.6200000000001
2023-10-30,119.0,61.2706265060241,0.9707349397590361,754.6729759036144,83.0,62.0,55.0,87.0,86.75723830734967,89.9,97.8,2136.79
2023-10-31,91.0,67.96831578947368,0.9549473684210525,701.5107631578948,86.0,61.0,57.0,91.0,82.98599033816424,87.3,97.6,2094.75
2023-11-01,72.0,67.95741666666666,0.9576071428571428,845.6842857142857,84.0,54.0,57.0,87.0,83.83384955752213,85.4,99.1,2050.16
2023-11-02,28.0,56.55615189873417,0.967253164556962,805.7939240506329,84.0,46.0,57.0,86.0,81.35763888888889,84.35,95.8,1794.79
2023-11-03,103.0,79.36657971014492,0.9706231884057971,899.0590144927536,81.0,70.0,58.0,83.0,81.94521739130435,69.15,97.9,2274.45
2023-11-04,12.0,60.61692073170731,0.9760365853658536,700.2544390243903,85.0,82.0,58.0,83.0,81.48058823529412,95.05,98.2,1460.18
